date,temperature,rainfall,aqi,water_quality,humidity,population_density,traffic_density,industrial_emission,respiratory_cases,water_stress_index,urban_expansion_rate,forest_cover_ha,day_of_week,health_risk_label,traffic_status_label
2020-01-01,21.6,1.9,0.0,83.43357076505616,52.70736400639072,1000.0,0.0,0.0,0.9895833367103775,27.36642923494384,0.11046299189579303,100000.0,2,0,0
2020-01-02,22.4,1.0,0.0,79.80867849414408,81.25674378307096,1000.1369863013699,0.0,0.0,0.0,31.391321505855924,2.319162652972434,100010.27397260275,3,0,0
2020-01-03,23.0,0.0,0.0,83.23844269050346,64.26278020736206,1000.2739726027397,0.0,0.9175248444837286,0.0,28.26155730949654,0.3700099197714196,100020.54794520549,4,0,0
2020-01-04,23.4,0.0,0.0,87.61514928204012,67.1702926099132,1000.4109589041096,0.0,2.5224039642667737,0.0,24.084850717959878,0.3277221523541791,100030.82191780822,5,0,0
2020-01-05,23.3,0.2,0.0,78.92923312638331,55.238045639866286,1000.5479452054794,11.771568088412192,0.0,0.0,32.72076687361669,0.8992183193253861,100041.09589041096,6,0,0
2020-01-06,22.4,0.0,0.0,78.8293152152541,49.09042328334749,1000.6849315068494,33.39809008702812,2.1471318317052637,0.7291823510769195,32.370684784745904,0.9965590864937934,100051.36986301371,0,0,0
2020-01-07,22.0,0.0,0.0,87.89606407753696,44.295519410141026,1000.8219178082192,7.893430596459622,15.781180575621844,2.9264971825816906,23.103935922463037,0.6143201735749086,100061.64383561644,1,0,0
2020-01-08,22.5,0.0,0.0,83.83717364576455,75.7059570462458,1000.9589041095891,0.0,9.854496856152185,2.5744179803818614,27.41282635423545,1.5042919862250994,100071.91780821918,2,0,0
2020-01-09,22.8,0.0,0.0,77.65262807032524,49.81171408439278,1001.0958904109589,8.892053364402814,8.691545924968965,4.099626263176171,33.74737192967476,1.1629938353007125,100082.19178082192,3,0,0
2020-01-10,21.7,0.0,0.0,82.71280021792982,74.50376770943988,1001.2328767123288,23.93262973291302,0.0,1.621701050074341,28.137199782070176,0.1820214136986098,100092.46575342467,4,0,0
2020-01-11,20.9,0.0,0.0,77.68291153593769,59.518822302347694,1001.3698630136986,0.0,0.0,0.0,32.76708846406231,0.8671649494127215,100102.7397260274,5,0,0
2020-01-12,20.6,0.0,0.0,77.67135123214871,60.78874004948257,1001.5068493150685,0.0,9.553005582377528,4.198319322155944,32.62864876785129,2.045038992575609,100113.01369863014,6,0,0
2020-01-13,22.2,0.0,0.0,81.20981135783018,63.45887480463858,1001.6438356164383,0.29376389458394186,8.760467925297942,0.0,29.890188642169825,1.7552836836684846,100123.28767123287,0,0,0
2020-01-14,22.0,0.0,0.0,70.43359877671101,58.38542540637716,1001.7808219178082,0.0,14.72670675750982,0.0,40.56640122328899,1.8396900485917131,100133.56164383562,1,0,0
